sample_id,image_path,label,stage
1,020006.jpg,5512,train
2,089793.jpg,9168,val
3,005982.jpg,5153,train
4,031843.jpg,3181,train
5,164562.jpg,2523,train
6,100860.jpg,7120,train
7,173066.jpg,1967,train
8,176875.jpg,4210,train
9,044350.jpg,3478,train
10,145300.jpg,4666,test
11,109955.jpg,8845,val
12,053193.jpg,4245,train
13,034864.jpg,8632,train
14,140619.jpg,9084,train
15,004079.jpg,5702,train
16,102401.jpg,353,train
17,081743.jpg,5238,train
18,081852.jpg,5180,val
19,105765.jpg,3328,test
20,074299.jpg,7386,val
21,064961.jpg,6547,test
22,024272.jpg,4652,train
23,038328.jpg,2114,train
24,026888.jpg,8570,val
25,146458.jpg,3886,train
26,047133.jpg,5274,train
27,093032.jpg,1601,train
28,067551.jpg,4554,test
29,024362.jpg,8664,train
30,110097.jpg,8208,train
31,097311.jpg,5391,val
32,016978.jpg,9054,val
33,185611.jpg,7533,train
34,007234.jpg,8960,test
35,028629.jpg,8825,train
36,108938.jpg,2070,test
37,013055.jpg,4219,train
38,029841.jpg,565,test
39,022698.jpg,3188,val
40,174693.jpg,3859,train
41,063261.jpg,4577,train
42,194334.jpg,8771,train
43,144572.jpg,6145,train
44,067256.jpg,8957,test
45,180922.jpg,468,train
46,127346.jpg,160,test
47,097312.jpg,9848,train
48,186445.jpg,6225,train
49,124436.jpg,2793,train
50,054644.jpg,1886,test
51,032984.jpg,5250,train
52,148892.jpg,7756,train
53,147382.jpg,9924,train
54,202031.jpg,6789,train
55,184322.jpg,8241,val
56,169331.jpg,4210,train
57,171407.jpg,2546,train
58,085760.jpg,8385,test
59,038273.jpg,5263,train
60,045282.jpg,1998,train
61,025779.jpg,2451,train
62,069294.jpg,8783,val
63,032973.jpg,5805,train
64,014489.jpg,8564,train
65,194265.jpg,8621,train
66,056779.jpg,5688,train
67,132741.jpg,894,test
68,184553.jpg,9194,train
69,172192.jpg,4017,val
70,031095.jpg,6585,train
71,031915.jpg,5272,val
72,197337.jpg,5567,train
73,116481.jpg,6036,train
74,101829.jpg,6536,train
75,177601.jpg,1032,val
76,173550.jpg,4555,val
77,144802.jpg,2579,train
78,149351.jpg,4136,train
79,029093.jpg,6147,train
80,053028.jpg,2014,train
81,110424.jpg,2926,train
82,014861.jpg,9341,train
83,151862.jpg,873,train
84,024476.jpg,8967,val
85,151433.jpg,1356,val
86,143144.jpg,1604,test
87,187634.jpg,6421,val
88,047960.jpg,10071,val
89,138550.jpg,1888,val
90,054501.jpg,4326,train
91,119910.jpg,1840,train
92,013361.jpg,7725,val
93,043749.jpg,8704,train
